route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_url
L100D1,1,100,"Zličín - Letiště / Terminál 1",3,,,https://pid.cz/linka/100
L101D1,1,101,"Viktoria Žižkov - Skalka - Zentiva",3,,,https://pid.cz/linka/101
L102D1,1,102,"Sídliště Bohnice - Kobylisy - Šimůnkova",3,,,https://pid.cz/linka/102
L103D10,10,103,"Ládví - Ďáblice - Březiněves",3,,,https://pid.cz/linka/103
L105D1,1,105,"Smíchovské nádraží - Filmové ateliéry Barrandov - Smíchovské nádraží",3,,,https://pid.cz/linka/105
L106D1,1,106,"Nádraží Braník - Kačerov",3,,,https://pid.cz/linka/106
L107D1,1,107,"Dejvická - Suchdolské náměstí - Suchdol",3,,,https://pid.cz/linka/107
L108D1,1,108,"Dejvická - Sídliště Na Dědině",3,,,https://pid.cz/linka/108
L109D1,1,109,"Palmovka - Dolní Počernice - Výzkumné ústavy Běchovice",3,,,https://pid.cz/linka/109
L10D1,1,10,"Sídliště Řepy - Sídliště Ďáblice",0,,,https://pid.cz/linka/10
L110D10,10,110,"Třeboradice - Dolní Počernice",3,,,https://pid.cz/linka/110
L111D1,1,111,"Skalka - Dubeč - Koloděje",3,,,https://pid.cz/linka/111
L112D1,1,112,"Nádraží Holešovice - Zoo Praha-Troja",3,,,https://pid.cz/linka/112
L113D1,1,113,"Kačerov - Sídliště Písnice - Písnice - Točná",3,,,https://pid.cz/linka/113
L115D11,11,115,"Chodov - Městský archiv Chodovec - Chodov",3,,,https://pid.cz/linka/115
L116D1,1,116,"Dejvická - Jenerálka",3,,,https://pid.cz/linka/116
L117D63,63,117,"Poliklinika Budějovická - Nové Komořany",3,,,https://pid.cz/linka/117
L118D1,1,118,"Smíchovské nádraží - Depo Kačerov - Sídliště Spořilov",3,,,https://pid.cz/linka/118
L119D1,1,119,"Nádraží Veleslavín - Letiště / Terminál 1",3,,,https://pid.cz/linka/119
L11D1,1,11,"Spojovací - Spořilov",0,,,https://pid.cz/linka/11
