stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,stop_desc,stop_url,platform_code
"U953Z102","Skalka",50.068435,14.50717,0,U953N1,1,,"https://pid.cz/zastavkova-tabla/?stop=Skalka",M2
"U713Z102","Strašnická",50.073336,14.490092,0,U713N2,1,,"https://pid.cz/zastavkova-tabla/?stop=Strašnická",M2
"U921Z102","Želivského",50.07854,14.474892,0,U921N3,2,,"https://pid.cz/zastavkova-tabla/?stop=Želivského",M2
"U118Z102","Flora",50.078288,14.461887,0,U118N4,2,,"https://pid.cz/zastavkova-tabla/?stop=Flora",M2
"U476Z102","Náměstí Míru",50.075398,14.43908,0,U476N5,2,,"https://pid.cz/zastavkova-tabla/?stop=Náměstí Míru",M2
"U400Z102","Muzeum - A",50.079884,14.43133,0,U400N6,1,,"https://pid.cz/zastavkova-tabla/?stop=Muzeum - A",M2
"U1072Z102","Můstek - A",50.083943,14.42415,0,U1072N7,1,,"https://pid.cz/zastavkova-tabla/?stop=Můstek - A",M2
"U703Z102","Staroměstská",50.088454,14.417067,0,U703N8,2,,"https://pid.cz/zastavkova-tabla/?stop=Staroměstská",M2
"U360Z102","Malostranská",50.092176,14.409102,0,U360N9,2,,"https://pid.cz/zastavkova-tabla/?stop=Malostranská",M2
"U163Z102","Hradčanská",50.097671,14.402536,0,U163N10,2,,"https://pid.cz/zastavkova-tabla/?stop=Hradčanská",M2
"U321Z102","Dejvická",50.100481,14.392463,0,U321N11,1,,"https://pid.cz/zastavkova-tabla/?stop=Dejvická",M2
"U157Z102","Bořislavka",50.098319,14.362121,0,U157N12,1,,"https://pid.cz/zastavkova-tabla/?stop=Bořislavka",M2
"U462Z102","Nádraží Veleslavín",50.095565,14.347792,0,U462N13,1,,"https://pid.cz/zastavkova-tabla/?stop=Nádraží Veleslavín",M2
"U507Z102","Petřiny",50.086608,14.345019,0,U507N14,1,,"https://pid.cz/zastavkova-tabla/?stop=Petřiny",M2
"U306Z102","Nemocnice Motol",50.075222,14.340865,0,U306N15,1,,"https://pid.cz/zastavkova-tabla/?stop=Nemocnice Motol",M2
